id,Name,Description,Description_EN,Level,BeginnerTime,BeginnerCount,TargetMuscle,TargetMuscle_EN,MET,Part,Equipment,BasicCount,IntermediateCount,AdvancedCount,CaloriesPerRep,UpperCalibration,TargetDevice,LowerCalibration,exCategory,Multiply,Side,Type,AnimationFile,ClipSource,ImageFile
12,크로즈 그립 푸쉬업,"크로즈 그립 푸쉬업은 손을 가슴 바로 아래에 두고 수행하는 푸쉬업 변형으로, 상완 삼두근에 더 많은 강조를 둡니다. 이 운동은 가슴과 삼각근의 활성화도 증가시키지만, 표준 푸쉬업보다 삼두근에 더 큰 부하를 줍니다.","The close grip push-up is a variation of the push-up where the hands are placed directly under the chest, emphasizing the triceps more significantly. This exercise also increases activation of the chest and deltoids, but places a greater load on the triceps compared to standard push-ups.",Normal,60,10,"[""상완 삼두근"", ""대흉근"", ""전방 삼각근""]","[""Triceps"", ""Chest"", ""Front Delts""]",8,"[""가슴"", ""팔""]",1,15,20,30,0.49,0,"[1,2]",,1,1,0,상체,,https://youtu.be/rjXNpd02GBU,
13,무릎 대고 크로즈 그립 푸쉬업,"무릎 대고 크로즈 그립 푸쉬업은 표준 푸쉬업의 변형으로, 손을 가슴 바로 아래에 두고 수행합니다. 이 운동은 상체의 힘을 키우고 근육을 조각하는 데 도움이 됩니다.","Kneeling close-grip push-up is a variation of the standard push-up, performed with hands placed directly under the chest. This exercise helps to build upper body strength and sculpt the muscles.",Easy,60,12,"[""대흉근"", ""삼각근"", ""삼두근""]","[""Chest"", ""Shoulders"", ""Triceps""]",4,"[""가슴"", ""어깨"", ""팔""]",1,15,20,30,0.25,0,"[1,2]",,1,1,0,상체,,https://youtu.be/nYhCSCaeEHE,
14,플랭크 푸쉬업,플랭크 푸쉬업은 플랭크 자세에서 시작하여 푸쉬업 동작을 결합한 운동입니다. 이 운동은 상체의 힘과 코어 안정성을 동시에 향상시키는 데 효과적입니다.,Plank push-ups start in a plank position and transition into a push-up. This exercise effectively enhances upper body strength and core stability simultaneously.,Hard,30,8,"[""대흉근"", ""삼각근"", ""복직근""]","[""Chest"", ""Shoulders"", ""Abs""]",8,"[""가슴"", ""어깨"", ""코어""]",1,10,15,20,0.49,0,"[1,2]",,1,2,0,상체,,https://youtu.be/PZqUcHaifL0,
15,내로우 푸쉬업,"내로우 푸쉬업은 팔을 몸통에 가깝게 위치시켜 수행하는 푸쉬업 변형으로, 주로 삼두근, 가슴, 그리고 코어 근육을 강화하는 데 효과적입니다. 팔꿈치가 몸통을 따라 움직이며, 가슴보다는 삼두근에 더 큰 부하를 줍니다.","Narrow push-ups are a variation of push-ups with arms positioned close to the torso, primarily targeting the triceps, chest, and core muscles. The elbows move along the torso, placing more emphasis on the triceps than the chest.",Normal,60,15,"[""대흉근"", ""삼두근"", ""복직근""]","[""Chest"", ""Triceps"", ""Abs""]",4,"[""가슴"", ""팔"", ""코어""]",1,20,25,35,0.25,0,"[1,2]",,1,1,0,상체,,https://www.youtube.com/watch?v=omRMyAyXnvE,
16,인클라인 맨몸 푸쉬업,"인클라인 맨몸 푸쉬업은 기본 푸쉬업보다 상체를 높은 위치에 두어 수행하는 운동으로, 상체의 하부 대흉근과 삼두근, 전방 삼각근에 더 많은 자극을 줍니다. 이 운동은 가슴 근육의 발달뿐만 아니라 팔과 어깨의 힘을 증진시키는 데 도움을 줍니다.","Incline push-ups are performed with the upper body elevated compared to standard push-ups, placing more emphasis on the lower pectorals, triceps, and front deltoids. This exercise aids in developing chest muscles as well as enhancing strength in the arms and shoulders.",Normal,60,10,"[""대흉근"", ""삼각근"", ""상완 삼두근""]","[""Chest"", ""Shoulders"", ""Triceps""]",4,"[""가슴"", ""어깨"", ""팔""]",1,15,20,30,0.25,0,"[1,2]",,1,1,0,상체,,https://youtu.be/KaQMXL4gE6A,
17,무릎 푸쉬업 후 한팔 들기,"무릎 푸쉬업 후 한팔 들기는 상체와 코어의 근력을 강화하는 운동입니다. 무릎을 꿇고 푸쉬업을 한 뒤, 한 팔을 들어 올리면서 균형을 잡습니다. 이 동작은 특히 코어의 안정성과 어깨의 힘을 키우는 데 도움이 됩니다.","Knee push-up with one arm raise is an exercise that strengthens the upper body and core. Perform a push-up from the knees and then raise one arm, balancing yourself. This movement particularly helps in enhancing core stability and shoulder strength.",Normal,60,8,"[""대흉근"", ""삼각근"", ""복직근""]","[""Chest"", ""Shoulders"", ""Abs""]",3.5,"[""가슴"", ""어깨"", ""코어""]",1,10,12,15,0.21,1,"[1,2]",,1,2,0,상체,,https://youtu.be/XtPHjLbcWMQ,
18,숄더 탭 푸쉬업,숄더 탭 푸쉬업은 표준 푸쉬업 자세에서 시작하여 한 손으로 반대쪽 어깨를 가볍게 터치하는 동작을 추가한 운동입니다. 이 운동은 상체의 힘과 안정성을 향상시키는 데 도움이 됩니다.,"The shoulder tap push-up starts in a standard push-up position, then involves lightly tapping the opposite shoulder with one hand. This exercise helps to improve upper body strength and stability.",Normal,30,8,"[""대흉근"", ""삼각근"", ""복직근""]","[""Chest"", ""Shoulders"", ""Abs""]",8,"[""가슴"", ""어깨"", ""코어""]",1,10,15,20,0.49,0,"[1,2]",,1,3,0,상체,,https://youtu.be/fudniXnIZ3c,
20,런지,런지는 한 발을 앞으로 내딛고 무릎을 굽혀 다리를 90도 각도로 만드는 동작을 반복하는 운동입니다. 이 운동은 하체의 근력과 균형을 향상시키는 데 효과적입니다.,"Lunges involve stepping one foot forward and bending both knees to create 90-degree angles, repeating this motion. This exercise effectively enhances lower body strength and balance.",Normal,60,10,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,15,20,30,0.37,,"[3,4]",0,1,1,0,하체,,https://youtu.be/WlOVnfmRLsg,
21,리버스 런지,리버스 런지는 한 발을 뒤로 크게 내디디면서 무릎이 바닥에 닿을 듯이 내려가는 동작을 반복하는 운동입니다. 이 운동은 하체의 근력과 균형을 향상시키는 데 도움이 됩니다.,"The reverse lunge involves stepping one leg back into a deep lunge position, lowering the knee towards the ground, and repeating the motion. This exercise helps improve lower body strength and balance.",Normal,60,10,"[""대둔근"", ""대퇴사두근"", ""대퇴이두근""]","[""Glutes"", ""Quads"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,15,20,30,0.37,,"[3,4]",0,1,1,0,하체,,https://youtu.be/W75iFSaIyZ4,
23,크로스 런지,크로스 런지는 한 발을 앞으로 내딛고 반대쪽 발을 교차하여 뒤쪽으로 내딛는 동작을 반복하는 운동입니다. 이 운동은 하체의 근력과 균형을 향상시키는 데 도움이 됩니다.,"The cross lunge involves stepping one foot forward and the opposite foot back in a crossed manner, repeating this motion. This exercise helps improve lower body strength and balance.",Normal,30,10,"[""대둔근"", ""대퇴사두근"", ""대퇴이두근""]","[""Glutes"", ""Quads"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,15,20,30,0.37,,"[3,4]",0,1,1,0,하체,,https://youtu.be/irygFmarGLI,
24,사이드 런지 점프,"사이드 런지 점프는 하체의 힘과 폭발력을 증가시키는데 효과적인 운동입니다. 한쪽 다리로 런지 자세를 취한 후, 반대쪽 다리로 뛰어넘으며 런지 자세를 취하는 동적인 움직임을 반복합니다.","Side Lunge Jumps effectively increase leg strength and explosive power. You perform a lunge with one leg, then jump to switch and lunge with the opposite leg, repeating this dynamic movement.",Hard,30,10,"[""대둔근"", ""대퇴사두근"", ""대퇴이두근""]","[""Glutes"", ""Quads"", ""Hamstrings""]",8,"[""하체"", ""힙""]",1,15,20,30,0.49,,"[3,4]",2,1,1,0,하체,,https://youtu.be/6ozAIo2yR2Q,
25,맨몸 스쿼트,"맨몸 스쿼트는 하체의 주요 근육을 강화하는 운동으로, 자신의 체중을 이용하여 대퇴근과 둔근, 그리고 척추기립근을 포함한 코어 근육을 단련할 수 있습니다. 정확한 자세로 수행할 때, 무릎과 허리에 무리가 가지 않도록 주의해야 합니다.","Bodyweight squats primarily strengthen the major muscles of the lower body, utilizing one's own weight to train the thighs, glutes, and core muscles including the lower back. It is crucial to maintain proper form to avoid strain on the knees and back.",Normal,60,15,"[""대퇴사두근"", ""대둔근"", ""척추기립근""]","[""Quads"", ""Glutes"", ""Lower Back""]",5,"[""하체"", ""힙"", ""코어""]",1,20,30,45,0.31,,"[3,4]",0,1,1,0,하체,,https://youtu.be/jBm2iqN3VGk,
26,와이드 스쿼트,"와이드 스쿼트는 다리를 어깨보다 넓게 벌리고 수행하는 스쿼트 변형으로, 특히 대둔근과 내전근에 더 많은 자극을 줍니다. 이 운동은 하체의 힘과 안정성을 향상시키는 데 도움이 됩니다.","The wide squat is a variation of the squat performed with legs wider than shoulder-width apart, targeting the glutes and inner thighs more intensively. It helps improve lower body strength and stability.",Normal,30,12,"[""대둔근"", ""대퇴사두근"", ""내전근""]","[""Glutes"", ""Quads"", ""Inner Thigh""]",5,"[""하체"", ""힙""]",1,15,20,25,0.31,,"[3,4]",0,1,1,0,하체,,https://youtu.be/Kia-MbMkOfk,
27,점프 스쿼트,점프 스쿼트는 하체의 폭발적인 힘과 지구력을 향상시키는 운동입니다. 스쿼트 자세에서 점프로 이동하며 착지 시 스쿼트 자세로 돌아가는 동작을 반복합니다.,"Jump squats enhance explosive power and endurance in the lower body. The exercise involves squatting down and jumping up, then returning to a squat position upon landing.",Hard,30,10,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",8,"[""하체""]",1,15,20,30,0.49,,"[3,4]",0,1,1,0,상체,,https://youtu.be/gZSX6YYMDXs,
28,스쿼트 펄스,스쿼트 펄스는 일반 스쿼트 자세에서 약간의 깊이로 지속적으로 작은 움직임을 반복하는 운동입니다. 이 운동은 특히 하체의 근력과 지구력을 향상시키는 데 효과적입니다.,Squat pulses involve continuous small movements at a slight depth from the standard squat position. This exercise is particularly effective in enhancing lower body strength and endurance.,Normal,30,15,"[""대둔근"", ""대퇴사두근"", ""대퇴이두근""]","[""Glutes"", ""Quads"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,20,30,45,0.37,,"[3,4]",0,1,1,0,하체,,https://youtu.be/FOpIOjXLUxU,
29,스쿼트 사이드 잽,"스쿼트 사이드 잽은 스쿼트 자세에서 시작하여 한쪽 다리로 옆으로 빠르게 잽을 내딛는 동작을 반복하는 운동입니다. 이 운동은 하체의 힘과 안정성을 향상시키며, 동시에 심박수를 높여 유산소 운동 효과도 제공합니다.","The Squat Side Jab starts in a squat position and involves quickly jabbing to the side with one leg, repeating this motion. This exercise improves lower body strength and stability while also increasing heart rate for aerobic benefits.",Normal,30,10,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,15,20,30,0.37,,"[3,4]",1,1,1,0,하체,,https://youtu.be/7YLCPyUXwX8,
30,사이드 터치 스쿼트,"사이드 터치 스쿼트는 스쿼트 동작 중에 한 쪽 다리를 옆으로 뻗으면서 동시에 반대쪽 손으로 발끝을 터치하는 동작을 반복하는 운동입니다. 이 운동은 하체의 근력과 유연성을 동시에 향상시키며, 코어 근육의 안정성도 강화시킵니다.","The Side Touch Squat involves a squatting motion where one leg is extended to the side while the opposite hand touches the toe, repeated alternately. This exercise enhances both lower body strength and flexibility, and also strengthens core stability.",Normal,30,10,"[""대퇴사두근"", ""대둔근"", ""복직근""]","[""Quads"", ""Glutes"", ""Abs""]",5,"[""하체"", ""코어""]",1,15,20,30,0.31,,"[3,4]",0,1,1,0,하체,,https://youtu.be/2FILaoNy1lY,
31,스모 턴 스쿼트,"스모 턴 스쿼트는 발을 넓게 벌리고 발끝을 바깥쪽으로 향하게 한 후, 무릎을 구부리면서 엉덩이를 낮추는 동작을 반복하는 운동입니다. 이 운동은 하체의 힘과 균형을 향상시키는 데 도움이 됩니다.","The Sumo Turn Squat involves standing with feet wide apart and toes pointing outward, then bending the knees and lowering the hips in a repetitive motion. This exercise helps improve lower body strength and balance.",Normal,30,12,"[""대둔근"", ""대퇴사두근"", ""대퇴이두근""]","[""Glutes"", ""Quads"", ""Hamstrings""]",5,"[""하체"", ""힙""]",1,15,20,25,0.31,,"[3,4]",1,1,1,0,하체,,https://youtu.be/Ok3GFwQUIWI,
32,발 들고 스쿼트,"발 들고 스쿼트는 한 발을 들고 수행하는 스쿼트 변형으로, 균형과 하체 근력을 동시에 향상시킬 수 있는 운동입니다. 이 운동은 하체의 안정성과 근력을 증진시키는 데 효과적입니다.","The single-leg squat, also known as a pistol squat, is a variation of squats performed on one leg. It enhances balance and lower body strength simultaneously and is effective in improving stability and muscle strength in the lower body.",Hard,30,5,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",6,"[""하체""]",1,10,15,20,0.37,,"[3,4]",0,1,1,0,하체,,https://youtu.be/YpPqAf8Nt_I,
33,사이드 크런치 스쿼트,"사이드 크런치 스쿼트는 스쿼트 동작 중에 사이드 크런치를 결합한 운동으로, 하체와 코어 근육을 동시에 강화할 수 있습니다. 이 운동은 복부의 외복사근과 하체의 대퇴사두근, 대둔근을 주로 사용합니다.","The Side Crunch Squat combines a squat with a side crunch, targeting both lower body and core muscles simultaneously. This exercise primarily engages the obliques, quads, and glutes.",Normal,30,10,"[""외복사근"", ""대퇴사두근"", ""대둔근""]","[""Obliques"", ""Quads"", ""Glutes""]",6,"[""하체"", ""코어""]",1,15,20,25,0.37,,"[3,4]",1,1,3,0,둘다,,https://youtu.be/maS6B-HTo9Y,
34,니업 스쿼트,니업 스쿼트는 스쿼트 동작 중에 한쪽 무릎을 가슴 쪽으로 끌어올리는 동작을 추가하여 하체와 코어의 근력을 동시에 강화하는 운동입니다. 이 운동은 균형 능력과 하체의 폭발적인 힘을 향상시키는 데 도움이 됩니다.,"The Knee-Up Squat involves a standard squat combined with lifting one knee towards the chest during the movement, enhancing both lower body and core strength. This exercise aids in improving balance and explosive power in the lower body.",Normal,30,8,"[""대퇴사두근"", ""대둔근"", ""복직근""]","[""Quads"", ""Glutes"", ""Abs""]",6,"[""하체"", ""코어""]",1,12,15,20,0.37,,"[3,4]",1,1,3,0,둘다,,https://youtu.be/Wxe7DSyKzBI,
35,굿모닝 스쿼트,"굿모닝 스쿼트는 바벨을 어깨 뒤에 위치시키고, 허리를 곧게 펴면서 상체를 앞으로 기울이는 동작을 반복하는 운동입니다. 이 운동은 특히 하체와 코어의 근력을 강화하는 데 효과적입니다.","The Good Morning Squat involves placing a barbell on the back of the shoulders, keeping the back straight, and bending the upper body forward repeatedly. This exercise is particularly effective in strengthening the muscles of the lower body and core.",Hard,30,8,"[""대퇴이두근"", ""대둔근"", ""척추기립근""]","[""Hamstrings"", ""Glutes"", ""Lower Back""]",6,"[""하체"", ""코어""]",3,10,12,15,0.37,,"[3,4]",0,1,1,0,하체,,https://youtu.be/JflBHYwtFNk,
36,내로우 스쿼트,"내로우 스쿼트는 발을 좁게 배치하여 수행하는 스쿼트 변형으로, 특히 대퇴사두근에 더 큰 부하를 주어 근력과 근지구력을 향상시키는 데 도움이 됩니다. 이 운동은 하체의 안정성과 균형 능력을 향상시키는 데에도 효과적입니다.","The narrow squat is a variation of the squat performed with a closer stance, which places greater emphasis on the quadriceps. It helps in improving strength and muscular endurance, and is also effective in enhancing lower body stability and balance.",Normal,30,12,"[""대퇴사두근"", ""대퇴이두근"", ""대둔근""]","[""Quads"", ""Hamstrings"", ""Glutes""]",6,"[""하체""]",1,15,20,25,0.37,,"[3,4]",0,1,1,0,하체,,https://youtu.be/j3ksFum2Rag,
37,유 스쿼트,"유 스쿼트는 전통적인 스쿼트 동작에 약간의 변형을 준 운동으로, 주로 하체의 근력을 강화하는 데 사용됩니다. 이 운동은 균형과 핵심 근육의 안정성을 향상시키는 데 도움이 됩니다.","The Y Squat is a variation of the traditional squat exercise, primarily used to strengthen the lower body muscles. It also aids in improving balance and core stability.",Normal,30,12,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",5,"[""하체"", ""힙""]",1,15,20,25,0.31,,"[3,4]",0,1,1,0,하체,,https://youtu.be/RA-K4M4_rc4,
38,스쿼트 점핑잭,"스쿼트 점핑잭은 전통적인 점핑잭에 스쿼트 동작을 결합한 운동으로, 하체 근력과 심폐 지구력을 동시에 향상시킬 수 있습니다. 이 운동은 점프하면서 다리를 벌리고, 착지할 때 스쿼트 자세로 내려가는 동작을 반복합니다.","Squat jumping jacks combine traditional jumping jacks with a squatting motion, enhancing both lower body strength and cardiovascular endurance. The exercise involves jumping to spread the legs and squatting upon landing.",Normal,30,15,"[""대퇴사두근"", ""대둔근"", ""복직근""]","[""Quads"", ""Glutes"", ""Abs""]",8,"[""하체"", ""코어""]",1,20,25,35,0.49,,"[3,4]",2,1,1,0,둘다,,https://youtu.be/SEr6yV1JumE,
39,스쿼트 스텝 백,스쿼트 스텝 백은 스쿼트 동작에서 한 발을 뒤로 내디디며 수행하는 운동입니다. 이 운동은 하체의 근력과 균형을 동시에 향상시키는 데 도움이 됩니다.,The Squat Step Back involves stepping one foot back from a squat position. This exercise helps to improve both lower body strength and balance simultaneously.,Normal,30,10,"[""대둔근"", ""대퇴사두근"", ""대퇴이두근""]","[""Glutes"", ""Quads"", ""Hamstrings""]",6,"[""하체"", ""힙""]",1,15,20,30,0.37,,"[3,4]",1,1,2,0,하체,,https://youtu.be/UAnWK2I4dz4,
40,팝업 스쿼트,팝업 스쿼트는 스쿼트 동작에서 시작하여 점프로 끝나는 동적 운동입니다. 이 운동은 하체의 힘과 폭발력을 증가시키는 데 도움이 됩니다.,"The pop-up squat starts with a squat motion and ends with a jump, making it a dynamic exercise that helps increase lower body strength and explosive power.",Normal,30,12,"[""대퇴사두근"", ""대둔근"", ""대퇴이두근""]","[""Quads"", ""Glutes"", ""Hamstrings""]",8,"[""하체""]",1,15,20,30,0.49,,"[3,4]",1,1,1,0,하체,,https://youtu.be/nhwp_WwpuLU,
41,오블리크 크런치 스쿼트,"오블리크 크런치 스쿼트는 복부의 외복사근과 하체의 대퇴사두근, 대둔근을 동시에 강화하는 복합 운동입니다. 이 운동은 스쿼트 동작 중에 복부를 비틀어 오블리크 근육에 집중적인 자극을 줍니다.","Oblique Crunch Squat is a compound exercise that simultaneously strengthens the obliques in the abdomen and the quadriceps and glutes in the lower body. During the squat, twisting the abdomen focuses on stimulating the oblique muscles.",Normal,30,10,"[""외복사근"", ""대퇴사두근"", ""대둔근""]","[""Obliques"", ""Quads"", ""Glutes""]",6,"[""코어"", ""하체""]",1,15,20,30,0.37,,"[3,4]",1,1,2,0,둘다,,https://youtu.be/GZHI1PqmaSk,
42,마운틴 클라이머,"마운틴 클라이머는 전신을 사용하는 유산소 운동으로, 팔과 다리를 번갈아 가며 빠르게 움직이는 동작을 포함합니다. 이 운동은 심박수를 높이고, 코어 근육을 강화하는 데 효과적입니다.",Mountain climbers are a full-body cardio exercise that involves alternating rapid movements of the arms and legs. It effectively raises the heart rate and strengthens the core muscles.,Normal,20,30,"[""복직근"", ""대퇴이두근""]","[""Abs"", ""Hamstrings"", ""Shoulders""]",8,"[""코어"", ""하체"", ""어깨""]",1,50,70,100,0.49,,"[3,4]",0,1,1,0,둘다,,https://youtu.be/4kxJTuESE5c,
43,맨손 쓰러스터,"맨손 쓰러스터는 전신을 사용하는 복합 운동으로, 스쿼트와 오버헤드 프레스 동작을 결합한 형태입니다. 이 운동은 하체, 코어, 어깨의 근력과 지구력을 동시에 향상시키는 데 효과적입니다.","The bodyweight thruster is a compound exercise that utilizes the entire body, combining a squat with an overhead press. It effectively enhances strength and endurance in the legs, core, and shoulders simultaneously.",Normal,60,12,"[""대퇴사두근"", ""대둔근"", ""삼각근""]","[""Quads"", ""Glutes"", ""Shoulders""]",8,"[""하체"", ""코어"", ""어깨""]",1,15,20,30,0.49,0,"[3,4]",0,1,1,0,상체,,https://youtu.be/-NrXLL8HosY,
44,바이시클 크런치,바이시클 크런치는 누워서 양쪽 무릎을 번갈아 가며 가슴 쪽으로 당기면서 상체를 반대 방향으로 비틀어 주는 복부 운동입니다. 이 운동은 복부 근육을 포함한 코어 근육을 강화하는 데 효과적입니다.,Bicycle crunches involve lying on your back and alternately pulling your knees towards your chest while twisting your upper body in the opposite direction. This exercise effectively strengthens the abdominal and core muscles.,Normal,30,15,"[""복직근"", ""외복사근"", ""비복근""]","[""Abs"", ""Obliques"", ""Calves""]",4,"[""코어""]",1,20,30,45,0.25,,"[3,4]",0,1,1,0,상체,,https://youtu.be/UOIlcGA35Tg,
