Name,Description,Level,BeginnerTime,BeginnerCount,TargetMuscle,AnimationFile,ClipSource,ImageFile,MET,Part,Type,BasicCount,IntermediateCount,AdvancedCount,UpperCalibration,TargetDevice,LowerCalibration,exCategory,Multiply,Side
사이드 플랭크(R),"코어 근육, 특히 복부의 측면 근육과 어깨 근육을 강화하는 운동입니다. 이 자세는 몸을 옆으로 기울여 한쪽 팔로 몸을 지탱하면서 수행되며, 코어 근육의 안정성과 균형을 향상시키는 데 도움이 됩니다. 사이드 플랭크는 복사근을 포함한 복부 측면 근육과 어깨 근육을 강화하며, 전반적인 자세 개선에도 기여합니다.",힘듬,30,0,"[""복사근"",""복직근""]",,https://youtu.be/GiGGCFe5zOY,,7,"[""코어""]",상체,0,0,0,3,[2],,2,1,1
서서 다리 대각선으로 들기(R),"엉덩이 근육을 강화하는 데에 초점을 맞춘 운동입니다. 이 운동은 서 있는 자세에서 한쪽 다리를 대각선 방향으로 들어 올리며 수행되어, 엉덩이 근육, 특히 중둔근과 소둔근에 강한 자극을 줍니다. 이 운동은 엉덩이 근육의 탄력과 근력을 증진시키고, 하체의 균형과 안정성을 향상시키는 데 효과적입니다.",쉬움,30,16,"[""대퇴사두근"",""대퇴이두근"",""비복근""]",,https://youtu.be/1L_GdZ_gplo,,5,"[""허벅지""]",하체,16,32,64,,,,3,1,1
서서 다리 뒤로 들기(R),"엉덩이 근육과 햄스트링을 강화하는 운동입니다. 이 운동은 서 있는 자세에서 한쪽 다리를 뒤로 들어 올리며 수행되며, 엉덩이 근육에 집중적인 자극을 제공합니다. 또한, 이 운동은 하체의 균형과 안정성을 향상시키고, 하체 근육의 탄력성을 증진시키는 데에도 도움이 됩니다.",쉬움,30,16,"[""대둔근"",""척추기립근""]",,https://youtu.be/jEcZhfIhWTA,,5,"[""힙""]",하체,16,32,64,,,,3,1,1
서서 다리 옆으로 들기(R),"엉덩이의 외측 근육과 허벅지의 측면 근육을 강화하는 운동입니다. 이 운동은 서 있는 자세에서 한쪽 다리를 옆으로 들어 올리며 수행되며, 특히 엉덩이의 중둔근과 허벅지의 외측 근육에 집중적인 자극을 제공합니다. 서서 다리 옆으로 들기는 하체 근력과 균형을 향상시키며, 하체의 근육 발달과 탄력을 증진시키는 데 효과적인 운동입니다.",쉬움,30,16,"[""중둔근"",""대퇴근막장근"",""대둔근"",""내전근""]",,https://youtu.be/rpa_PAFI6Bo,,5,"[""힙""]",하체,16,32,64,,,,3,1,1
서서 안쪽 스트레칭(R),"허벅지의 내측 근육, 즉 내전근을 스트레칭하고 유연성을 증진시키는 운동입니다. 이 스트레칭은 서 있는 자세에서 한쪽 다리를 옆으로 뻗어 내전근을 이완시키며 수행됩니다. 이 운동은 허벅지 안쪽 근육의 긴장을 완화하고, 유연성을 향상시키며, 하체의 균형과 전반적인 움직임의 범위를 개선하는 데 도움이 됩니다.",,30,0,"[""대퇴이두근"",""고관절굴근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,3,,하체,0,0,0,,,,3,1,1
슈퍼맨(R),"등 근육과 코어 근육을 강화하는 맨몸 운동입니다. 이 운동은 배를 대고 누운 자세에서 팔과 다리를 동시에 들어 올리며 수행됩니다. 슈퍼맨 운동은 특히 하부 등 근육을 강화하고, 척추 주변 근육의 안정성을 향상시키는 데 도움이 됩니다. 이 운동은 또한 전반적인 코어 근력을 강화하고, 자세 개선에도 기여할 수 있습니다.",쉬움,30,14,"[""척추 기립근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,5,"[""등""]",상체,14,28,56,,,,3,1,1
스쿼트 펄스(R),"전통적인 스쿼트 운동에 작은 펄스 동작을 추가한 변형으로, 허벅지와 엉덩이 근육을 집중적으로 강화하는 운동입니다. 이 운동은 스쿼트 자세를 유지하면서 하체를 약간 상하로 움직이며 펄스 동작을 수행합니다. 스쿼트 펄스는 특히 허벅지 전면과 엉덩이 근육에 지속적인 자극을 제공하여, 근육의 지구력을 향상시키고 탄력성을 증진시키는 데 효과적입니다.",보통,30,16,"[""대퇴사두근""]",,https://youtu.be/FOpIOjXLUxU,,6.3,"[""허벅지""]",하체,16,32,64,,[4],0,1,1,1
어깨 스트레칭(R),"어깨 근육의 긴장을 완화하고 유연성을 증진시키는 운동입니다. 이 스트레칭은 어깨와 상부 등 근육을 이완시켜 통증과 뻣뻣함을 줄이며, 어깨 주변의 이동 범위를 향상시키는 데 도움이 됩니다. 정기적인 어깨 스트레칭은 자세를 개선하고, 어깨 관련 부상 예방에도 기여할 수 있습니다.",,30,0,"[""전방 삼각근"",""내측 삼각근"",""후방 삼각근""]",,https://youtu.be/3_1b0Gb2LIA,,3,"[""어깨""]",상체,0,0,0,,,,3,1,1
오블리크 크런치(R),"크런치는 복부의 측면 근육, 즉 복사근을 강화하는 운동입니다. 이 운동은 복부의 회전 움직임을 포함하여, 특히 복부 측면의 근력을 증진시키고, 복근의 정의를 개선하는 데 효과적입니다. 오블리크 크런치는 코어 근육의 안정성을 향상시키며, 복부 전체의 근력 균형을 도모하는 데 도움이 됩니다.",보통,30,12,"[""복직근"",""외복사근"",""내복사근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,6.3,"[""코어""]",상체,12,24,48,,,,3,1,1
원 레그 플랭크(R),"표준 플랭크 운동에 한쪽 다리를 들어 올리는 동작을 추가하여 코어 근육을 강화하는 변형 운동입니다. 이 운동은 코어 근육뿐만 아니라, 엉덩이와 다리 근육에도 추가적인 자극을 제공합니다. 원 레그 플랭크는 특히 코어의 안정성과 균형을 향상시키며, 복부와 하체 근육의 조화로운 강화에 도움이 됩니다.",보통,30,14,"[""복직근"",""외복사근"",""내복사근"",""대퇴근"",""대흉근"",""삼각근""]",,https://youtu.be/rq-Rz56OfWI,,5,"[""코어""]",상체,14,28,56,3,[2],,2,1,1
쿼드 스트레칭(R),"허벅지 전면의 근육, 즉 대퇴사두근(쿼드리셉스)을 이완시키고 유연성을 증진시키는 운동입니다. 이 스트레칭은 서 있는 자세에서 한쪽 발목을 잡고 엉덩이 쪽으로 당겨 수행되며, 허벅지 전면 근육의 긴장을 완화하고, 근육의 이동 범위를 향상시킵니다. 쿼드 스트레칭은 특히 장시간 앉아 있거나 강도 높은 하체 운동 후에 효과적으로 근육을 이완시키는 데 도움이 됩니다.",,30,0,"[""대퇴사두근"",""비복근""]",,https://youtu.be/Y9lKmebbWP0,,3,,하체,0,0,0,,,,3,1,1
사이드 킥백(R),"엉덩이와 허벅지의 외측 근육을 강화하는 운동입니다. 이 운동은 네 발기기 자세에서 한쪽 다리를 옆으로 들어 올리며 수행되며, 특히 엉덩이의 중둔근과 소둔근에 집중적인 자극을 제공합니다. 파이어 하이드란트는 엉덩이 근육의 탄력을 증진시키고, 하체의 균형과 안정성을 향상시키는 데 효과적인 운동입니다.",보통,30,14,"[""고관절굴근"",""중둔근"",""소둔근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,6,"[""힙""]",하체,14,28,56,,,,3,1,1
플랭크 다리 올리기(R),"기본 플랭크 자세에서 한쪽 다리를 번갈아 올리는 동작을 추가하여 코어 근육과 하체 근육을 강화하는 운동입니다. 이 변형은 코어의 안정성을 향상시키는 동시에, 엉덩이와 햄스트링에 추가적인 자극을 제공합니다. 플랭크 다리 올리기는 복부 근력을 증진시키고, 하체 근육의 균형과 조정 능력을 개선하는 데 효과적인 운동입니다.",힘듬,30,16,"[""복직근"",""대퇴사두근"",""대퇴이두근"",""비복근""]",,https://www.youtube.com/watch?v=CTACbUBPRDI,,7,"[""코어""]",상체,16,32,64,,,,3,1,1
허벅지 안쪽 스트레칭(R),"허벅지의 내측 근육, 즉 내전근을 이완시키고 유연성을 증진시키는 운동입니다. 이 스트레칭은 허벅지 안쪽 근육의 긴장을 완화하고, 이동 범위를 향상시키며, 하체의 균형과 전반적인 움직임을 개선하는 데 도움이 됩니다. 허벅지 안쪽 스트레칭은 특히 장시간 앉아 있거나 강도 높은 하체 운동 후에 근육을 효과적으로 이완시키는 데 유용합니다.",,30,0,"[""대퇴사두근"",""대퇴이두근"",""비복근""]",,https://youtu.be/pyNhm_4iJIo,,3,,하체,0,0,0,,,,3,1,1
엎드려서 후면 스트레칭(R),팔을 사용하여 등과 어깨 후면 근육을 스트레칭하는 운동입니다. 이 운동을 통해 근육의 긴장을 완화하고 유연성을 향상시킬 수 있습니다.,쉬움,30,0,"[""승모근"",""후면 삼각근""]",,https://youtu.be/tch8DiLvo14,,3,,상체,0,0,0,,,,3,1,1
발목 돌려주기(R),발목 근육과 관절을 회전시켜 유연성을 높이는 운동입니다. 각 발목을 시계 방향과 반시계 방향으로 회전시켜 유연성을 향상시킬 수 있습니다.,쉬움,30,0,,,https://youtu.be/W78AJsPVX0k,,3,,하체,0,0,0,,,,3,1,1
짧게 다리 펴주기(R),"한쪽 다리를 앞으로 뻗고 상체를 부드럽게 숙여 다리 뒤쪽의 햄스트링 근육을 효과적으로 늘려줍니다. 이 간단한 스트레칭은 다리 근육의 유연성을 증진시키고 긴장을 완화하는 데 도움을 줍니다, 특히 일상적인 활동에서 발생할 수 있는 근육 뻣뻣함과 불편함을 줄이는 데 이상적입니다.",,30,0,"[""대퇴이두근""]",,https://youtu.be/pekVd6wH8DA,,3,,하체,0,0,0,,,,3,1,1
깊게 다리 펴주기(R),"한쪽 다리를 앞으로 뻗고 상체를 부드럽게 숙여 다리 뒤쪽의 햄스트링 근육을 효과적으로 늘려줍니다. 이 간단한 스트레칭은 다리 근육의 유연성을 증진시키고 긴장을 완화하는 데 도움을 줍니다, 특히 일상적인 활동에서 발생할 수 있는 근육 뻣뻣함과 불편함을 줄이는 데 이상적입니다.",,30,0,"[""대퇴이두근""]",,https://youtu.be/on6GPTNhEM0,,3,,하체,0,0,0,,,,3,1,1
몸통 비틀기(R),"허벅지의 내측 근육인 대내전근을 타겟으로 한 효과적인 스트레칭입니다. 사용자는 이 스트레칭을 통해 허벅지 내측의 근육을 부드럽게 늘려, 근육의 유연성을 증진시키고, 긴장을 완화할 수 있습니다. 이 스트레칭은 하체의 움직임 범위를 개선하고, 특히 하체를 많이 사용하는 운동이나 활동에서 발생할 수 있는 부상 위험을 줄이는 데에도 도움이 됩니다/",,30,0,"[""대내전근""]",,https://youtu.be/O3euM0g-OAQ,,3,,하체,0,0,0,,,,3,1,1
앞굽이 자세(R),"발목과 하부 다리의 근육, 특히 종아리 근육에 집중적인 스트레칭을 제공합니다. 사용자는 이 스트레칭을 통해 종아리의 근육을 효과적으로 늘려, 근육의 유연성을 향상시키고 긴장을 완화할 수 있습니다. 이 운동은 하체 순환을 촉진하고, 장시간 서 있거나 걷는 활동 후에 발생할 수 있는 뻣뻣함과 불편함을 감소시키는 데 탁월합니다. 또한, 종아리 근육을 강화하고 발목의 안정성을 개선하는 데도 도움을 줍니다.""",,30,0,"[""비복근""]",,https://youtu.be/g5W6rBHzTiM,,3,,하체,0,0,0,,,,3,1,1
사선 몸통 기울이기(R),"상체의 전면과 측면 근육을 동시에 늘려주는 운동입니다. 사용자는 이 스트레칭을 통해 가슴의 전거근과 옆구리의 외복사근을 부드럽게 스트레칭하며, 이는 상체의 유연성을 향상시키고 근육의 긴장을 해소하는 데 효과적입니다. 이 운동은 특히 상체를 자주 사용하는 일상 활동이나 운동 후 근육이 뻣뻣해졌을 때, 근육의 이완과 움직임 범위 개선에 도움을 줍니다. 또한, 상체의 균형과 자세 개선에도 기여합니다.",,30,0,,,https://www.youtube.com/watch?v=CTACbUBPRDI,,3,,상체,0,0,0,,,,3,1,1
누워서 고관절 스트레칭(R),"고관절 주변 근육과 인대에 집중하는 이완 운동입니다. 사용자는 누운 자세에서 한쪽 다리를 가슴 쪽으로 당기고, 반대쪽 다리는 바닥에 평평하게 유지하면서 고관절과 주변 근육을 부드럽게 스트레칭합니다. 이 스트레칭은 고관절의 유연성을 향상시키고, 하체 근육의 긴장을 완화하는 데 도움을 줍니다. 특히 앉아 있는 생활이 많거나 하체를 많이 사용하는 운동을 하는 사람들에게 권장되며, 하체의 움직임 범위를 넓히고, 하체 및 골반의 균형을 개선하는 데에도 유익합니다.""",,30,0,"[""고관절""]",,https://youtu.be/fTD_irSifKo,,3,,하체,0,0,0,,,,3,1,1
흉추 스트레칭(R),"상체 중앙 부위인 흉추의 유연성을 개선하고 긴장을 완화하는데 중점을 둔 운동입니다. 사용자는 이 스트레칭을 통해 흉추 주변 근육과 인대를 부드럽게 늘려, 상체의 유연성을 향상시키고 등의 긴장을 해소할 수 있습니다. 이 스트레칭은 장시간 앉아 있거나 컴퓨터 작업을 많이 하는 사람들에게 특히 유용하며, 자세 개선과 통증 감소에 도움을 줍니다. 또한, 호흡이나 상체 움직임에 필요한 근육의 움직임 범위를 넓히는 데에도 기여합니다.",,30,0,"[""흉추""]",,https://youtu.be/Od-rqO4WOpE,,3,,상체,0,0,0,,,,3,1,1
힙 스트레칭(R),"엉덩이 근육, 특히 엉덩이의 큰 근육군인 대둔근과 중둔근에 초점을 맞춘 스트레칭입니다. 사용자는 이 스트레칭을 통해 엉덩이 주변의 근육을 부드럽게 늘려, 근육의 유연성을 증진시키고 긴장을 완화할 수 있습니다. 이 운동은 특히 장시간 앉아 있는 생활 방식이나 하체를 많이 사용하는 운동 후에 엉덩이 근육이 뻣뻣해질 때 매우 유용하며, 하체의 움직임 범위를 개선하고 골반 및 척추의 균형을 조정하는 데에도 도움을 줍니다.",,30,0,"[""대둔근""]",,https://youtu.be/kWlo8MgPJlI,,3,,하체,0,0,0,,,,3,1,1
햄스트링 스트레칭(R),"바닥에 앉은 자세에서 한쪽 다리를 뻗고 상체를 천천히 앞으로 숙여, 다리 뒤쪽 햄스트링 근육에 깊은 스트레칭을 제공합니다. 이 운동은 햄스트링의 유연성을 향상시키고, 근육의 긴장과 뻣뻣함을 완화하는데 효과적이며, 하체의 움직임 범위를 개선하고, 일상 생활이나 다른 운동 활동 중 발생할 수 있는 부상을 예방하는 데 도움을 줍니다.",,30,0,"[""대퇴이두근""]",,https://youtu.be/e8HvaxK1QsM,,3,,하체,0,0,0,,,,3,1,1
